tp,tn,fp,fn,p,r,f1
2813,20927,359,61,0.8868221942,0.9787752262,0.9305325835
2794,21026,260,80,0.9148657498,0.972164231,0.9426450742
2746,21150,136,128,0.9528105482,0.9554627697,0.9541348158
2718,21190,96,156,0.9658848614,0.9457202505,0.9556962025
2653,21235,51,221,0.9811390533,0.9231036882,0.9512370025
2612,21247,39,262,0.9852885704,0.9088378566,0.945520362
2583,21258,28,291,0.9892761394,0.8987473904,0.9418413856
2512,21271,15,362,0.9940641076,0.8740431454,0.9301981115
2336,21276,10,538,0.9957374254,0.8128044537,0.8950191571
